Rank,NOC,Gold,Silver,Bronze,Total,Year,Medal_Score,Medal_Share
1,USA,11,7,2,20,1896,49,0.16393442622950818
2,GRE,10,18,19,47,1896,85,0.38524590163934425
3,GER,6,5,2,13,1896,30,0.10655737704918032
4,FRA,5,4,2,11,1896,25,0.09016393442622951
5,GBR,2,3,2,7,1896,14,0.05737704918032787
6,HUN,2,1,3,6,1896,11,0.04918032786885246
7,AUT,2,1,2,5,1896,10,0.040983606557377046
8,AUS,2,0,0,2,1896,6,0.01639344262295082
9,DEN,1,2,3,6,1896,10,0.04918032786885246
10,SUI,1,2,0,3,1896,7,0.02459016393442623
11,MIX,1,0,1,2,1896,4,0.01639344262295082
1,FRA,27,39,37,103,1900,196,0.3626760563380282
2,USA,19,14,15,48,1900,100,0.16901408450704225
3,GBR,15,7,9,31,1900,68,0.10915492957746478
4,MIX,8,5,6,19,1900,40,0.06690140845070422
5,BEL,6,7,4,17,1900,36,0.05985915492957746
6,SUI,6,2,1,9,1900,23,0.03169014084507042
7,GER,4,3,2,9,1900,20,0.03169014084507042
8,ITA,3,2,0,5,1900,13,0.017605633802816902
9,AUS,2,0,3,5,1900,9,0.017605633802816902
10,DEN,1,3,2,6,1900,11,0.02112676056338028
11,HUN,1,2,2,5,1900,9,0.017605633802816902
12,CUB,1,1,0,2,1900,5,0.007042253521126761
13,CAN,1,0,1,2,1900,4,0.007042253521126761
14,ESP,1,0,0,1,1900,3,0.0035211267605633804
14,LUX,1,0,0,1,1900,3,0.0035211267605633804
16,AUT,0,3,3,6,1900,9,0.02112676056338028
17,NOR,0,2,3,5,1900,7,0.017605633802816902
17,NED,0,2,3,5,1900,7,0.017605633802816902
19,IND,0,2,0,2,1900,4,0.007042253521126761
20,BOH,0,1,1,2,1900,3,0.007042253521126761
21,SWE,0,0,1,1,1900,1,0.0035211267605633804
1,USA,76,78,77,231,1904,461,0.825
2,GER,4,5,6,15,1904,28,0.05357142857142857
3,CAN,4,1,1,6,1904,15,0.02142857142857143
4,CUB,3,0,0,3,1904,9,0.010714285714285714
5,HUN,2,1,1,4,1904,9,0.014285714285714285
5,MIX,2,1,1,4,1904,9,0.014285714285714285
7,NOR,2,0,0,2,1904,6,0.007142857142857143
8,AUT,1,1,1,3,1904,6,0.010714285714285714
9,GBR,1,1,0,2,1904,5,0.007142857142857143
10,SUI,1,0,2,3,1904,5,0.010714285714285714
11,GRE,1,0,1,2,1904,4,0.007142857142857143
12,AUS,0,3,1,4,1904,7,0.014285714285714285
13,FRA,0,1,0,1,1904,2,0.0035714285714285713
1,GBR,56,51,39,146,1908,309,0.4506172839506173
2,USA,23,12,12,47,1908,105,0.14506172839506173
3,SWE,8,6,11,25,1908,47,0.07716049382716049
4,FRA,5,5,9,19,1908,34,0.05864197530864197
5,GER,3,5,5,13,1908,24,0.040123456790123455
6,HUN,3,4,2,9,1908,19,0.027777777777777776
7,CAN,3,3,10,16,1908,25,0.04938271604938271
8,NOR,2,3,3,8,1908,15,0.024691358024691357
9,ITA,2,2,0,4,1908,10,0.012345679012345678
10,BEL,1,5,2,8,1908,15,0.024691358024691357
11,ANZ,1,2,2,5,1908,9,0.015432098765432098
12,RU1,1,2,0,3,1908,7,0.009259259259259259
13,FIN,1,1,3,5,1908,8,0.015432098765432098
14,RSA,1,1,0,2,1908,5,0.006172839506172839
15,GRE,0,3,1,4,1908,7,0.012345679012345678
16,DEN,0,2,3,5,1908,7,0.015432098765432098
17,BOH,0,0,2,2,1908,2,0.006172839506172839
17,NED,0,0,2,2,1908,2,0.006172839506172839
19,AUT,0,0,1,1,1908,1,0.0030864197530864196
1,USA,26,19,19,64,1912,135,0.20512820512820512
2,SWE,23,25,17,65,1912,136,0.20833333333333334
3,GBR,10,15,16,41,1912,76,0.13141025641025642
4,FIN,9,8,9,26,1912,52,0.08333333333333333
5,FRA,7,4,3,14,1912,32,0.04487179487179487
6,GER,5,13,7,25,1912,48,0.08012820512820513
7,RSA,4,2,0,6,1912,16,0.019230769230769232
8,NOR,3,2,5,10,1912,18,0.03205128205128205
9,CAN,3,2,3,8,1912,16,0.02564102564102564
9,HUN,3,2,3,8,1912,16,0.02564102564102564
11,ITA,3,1,2,6,1912,13,0.019230769230769232
12,ANZ,2,2,3,7,1912,13,0.022435897435897436
13,BEL,2,1,3,6,1912,11,0.019230769230769232
14,DEN,1,6,5,12,1912,20,0.038461538461538464
15,GRE,1,0,1,2,1912,4,0.00641025641025641
16,RU1,0,2,3,5,1912,7,0.016025641025641024
17,AUT,0,2,2,4,1912,6,0.01282051282051282
18,NED,0,0,3,3,1912,3,0.009615384615384616
1,USA,41,27,27,95,1920,204,0.21689497716894976
2,SWE,19,20,25,64,1920,122,0.1461187214611872
3,FIN,15,10,9,34,1920,74,0.0776255707762557
4,GBR,14,15,13,42,1920,85,0.0958904109589041
5,BEL,14,11,11,36,1920,75,0.0821917808219178
6,NOR,13,9,9,31,1920,66,0.07077625570776255
7,ITA,13,5,5,23,1920,54,0.05251141552511415
8,FRA,9,19,13,41,1920,78,0.09360730593607305
9,NED,4,2,5,11,1920,21,0.02511415525114155
10,DEN,3,9,1,13,1920,28,0.02968036529680365
11,RSA,3,4,3,10,1920,20,0.0228310502283105
12,CAN,3,3,3,9,1920,18,0.02054794520547945
13,SUI,2,2,7,11,1920,17,0.02511415525114155
14,EST,1,2,0,3,1920,7,0.00684931506849315
15,BRA,1,1,1,3,1920,6,0.00684931506849315
16,AUS,0,2,1,3,1920,5,0.00684931506849315
17,JPN,0,2,0,2,1920,4,0.0045662100456621
17,ESP,0,2,0,2,1920,4,0.0045662100456621
19,GRE,0,1,0,1,1920,2,0.00228310502283105
19,LUX,0,1,0,1,1920,2,0.00228310502283105
21,TCH,0,0,2,2,1920,2,0.0045662100456621
22,NZL,0,0,1,1,1920,1,0.00228310502283105
1,USA,45,27,27,99,1924,216,0.2619047619047619
2,FIN,14,13,10,37,1924,78,0.09788359788359788
3,FRA,13,15,10,38,1924,79,0.10052910052910052
4,GBR,9,13,12,34,1924,65,0.08994708994708994
5,ITA,8,3,5,16,1924,35,0.042328042328042326
6,SUI,7,8,10,25,1924,47,0.06613756613756613
7,NOR,5,2,3,10,1924,22,0.026455026455026454
8,SWE,4,13,12,29,1924,50,0.07671957671957672
9,NED,4,1,5,10,1924,19,0.026455026455026454
10,BEL,3,7,3,13,1924,26,0.03439153439153439
11,AUS,3,1,2,6,1924,13,0.015873015873015872
12,DEN,2,5,2,9,1924,18,0.023809523809523808
13,HUN,2,3,4,9,1924,16,0.023809523809523808
14,YUG,2,0,0,2,1924,6,0.005291005291005291
15,TCH,1,4,5,10,1924,16,0.026455026455026454
16,ARG,1,3,2,6,1924,11,0.015873015873015872
17,EST,1,1,4,6,1924,9,0.015873015873015872
18,RSA,1,1,1,3,1924,6,0.007936507936507936
19,URU,1,0,0,1,1924,3,0.0026455026455026454
20,AUT,0,3,1,4,1924,7,0.010582010582010581
20,CAN,0,3,1,4,1924,7,0.010582010582010581
22,POL,0,1,1,2,1924,3,0.005291005291005291
23,HAI,0,0,1,1,1924,1,0.0026455026455026454
23,JPN,0,0,1,1,1924,1,0.0026455026455026454
23,NZL,0,0,1,1,1924,1,0.0026455026455026454
23,POR,0,0,1,1,1924,1,0.0026455026455026454
23,ROU,0,0,1,1,1924,1,0.0026455026455026454
1,USA,22,18,16,56,1928,118,0.1712538226299694
2,GER,10,7,14,31,1928,58,0.09480122324159021
3,FIN,8,8,9,25,1928,49,0.0764525993883792
4,SWE,7,6,12,25,1928,45,0.0764525993883792
5,ITA,7,5,7,19,1928,38,0.0581039755351682
6,SUI,7,4,4,15,1928,33,0.045871559633027525
7,FRA,6,10,5,21,1928,43,0.06422018348623854
8,NED,6,9,4,19,1928,40,0.0581039755351682
9,HUN,4,5,0,9,1928,22,0.027522935779816515
10,CAN,4,4,7,15,1928,27,0.045871559633027525
11,GBR,3,10,7,20,1928,36,0.06116207951070336
12,ARG,3,3,1,7,1928,16,0.021406727828746176
13,DEN,3,1,2,6,1928,13,0.01834862385321101
14,TCH,2,5,2,9,1928,18,0.027522935779816515
15,JPN,2,2,1,5,1928,11,0.01529051987767584
16,EST,2,1,2,5,1928,10,0.01529051987767584
17,EGY,2,1,1,4,1928,9,0.012232415902140673
18,AUT,2,0,1,3,1928,7,0.009174311926605505
19,AUS,1,2,1,4,1928,8,0.012232415902140673
19,NOR,1,2,1,4,1928,8,0.012232415902140673
21,POL,1,1,3,5,1928,8,0.01529051987767584
21,YUG,1,1,3,5,1928,8,0.01529051987767584
23,RSA,1,0,2,3,1928,5,0.009174311926605505
24,IND,1,0,0,1,1928,3,0.0030581039755351682
24,IRL,1,0,0,1,1928,3,0.0030581039755351682
24,NZL,1,0,0,1,1928,3,0.0030581039755351682
24,ESP,1,0,0,1,1928,3,0.0030581039755351682
24,URU,1,0,0,1,1928,3,0.0030581039755351682
29,BEL,0,1,2,3,1928,4,0.009174311926605505
30,CHI,0,1,0,1,1928,2,0.0030581039755351682
30,HAI,0,1,0,1,1928,2,0.0030581039755351682
32,PHI,0,0,1,1,1928,1,0.0030581039755351682
32,POR,0,0,1,1,1928,1,0.0030581039755351682
1,USA,44,36,30,110,1932,234,0.2972972972972973
2,ITA,12,12,12,36,1932,72,0.0972972972972973
3,FRA,11,5,4,20,1932,47,0.05405405405405406
4,SWE,10,5,9,24,1932,49,0.06486486486486487
5,JPN,7,7,4,18,1932,39,0.04864864864864865
6,HUN,6,5,5,16,1932,33,0.043243243243243246
7,GER,5,12,7,24,1932,46,0.06486486486486487
8,FIN,5,8,12,25,1932,43,0.06756756756756757
9,GBR,5,7,5,17,1932,34,0.04594594594594595
10,POL,3,2,4,9,1932,17,0.024324324324324326
11,AUS,3,1,1,5,1932,12,0.013513513513513514
12,ARG,3,1,0,4,1932,11,0.010810810810810811
13,CAN,2,5,9,16,1932,25,0.043243243243243246
14,NED,2,5,1,8,1932,17,0.021621621621621623
15,RSA,2,0,3,5,1932,9,0.013513513513513514
16,IRL,2,0,0,2,1932,6,0.005405405405405406
17,TCH,1,3,2,6,1932,11,0.016216216216216217
18,AUT,1,1,3,5,1932,8,0.013513513513513514
19,IND,1,0,0,1,1932,3,0.002702702702702703
20,DEN,0,5,3,8,1932,13,0.021621621621621623
21,MEX,0,2,0,2,1932,4,0.005405405405405406
22,LAT,0,1,0,1,1932,2,0.002702702702702703
22,NZL,0,1,0,1,1932,2,0.002702702702702703
22,SUI,0,1,0,1,1932,2,0.002702702702702703
25,PHI,0,0,3,3,1932,3,0.008108108108108109
26,BEL,0,0,1,1,1932,1,0.002702702702702703
26,ESP,0,0,1,1,1932,1,0.002702702702702703
26,URU,0,0,1,1,1932,1,0.002702702702702703
1,GER,38,31,32,101,1936,208,0.23933649289099526
2,USA,24,21,12,57,1936,126,0.13507109004739337
3,HUN,10,1,5,16,1936,37,0.037914691943127965
4,ITA,9,13,5,27,1936,58,0.06398104265402843
5,FIN,8,6,6,20,1936,42,0.04739336492890995
6,FRA,7,6,6,19,1936,39,0.045023696682464455
7,SWE,6,5,10,21,1936,38,0.04976303317535545
8,JPN,6,4,10,20,1936,36,0.04739336492890995
9,NED,6,4,7,17,1936,33,0.04028436018957346
10,AUT,5,7,5,17,1936,34,0.04028436018957346
11,SUI,4,9,5,18,1936,35,0.04265402843601896
12,GBR,4,7,3,14,1936,29,0.03317535545023697
13,TCH,3,5,1,9,1936,20,0.02132701421800948
14,ARG,2,2,3,7,1936,13,0.016587677725118485
14,EST,2,2,3,7,1936,13,0.016587677725118485
16,EGY,2,1,2,5,1936,10,0.011848341232227487
17,CAN,1,3,5,9,1936,14,0.02132701421800948
18,NOR,1,3,2,6,1936,11,0.014218009478672985
19,TUR,1,0,1,2,1936,4,0.004739336492890996
20,IND,1,0,0,1,1936,3,0.002369668246445498
20,NZL,1,0,0,1,1936,3,0.002369668246445498
22,POL,0,4,5,9,1936,13,0.02132701421800948
23,DEN,0,2,3,5,1936,7,0.011848341232227487
24,LAT,0,1,1,2,1936,3,0.004739336492890996
25,ROU,0,1,0,1,1936,2,0.002369668246445498
25,RSA,0,1,0,1,1936,2,0.002369668246445498
25,YUG,0,1,0,1,1936,2,0.002369668246445498
28,BEL,0,0,3,3,1936,3,0.0071090047393364926
28,MEX,0,0,3,3,1936,3,0.0071090047393364926
30,AUS,0,0,1,1,1936,1,0.002369668246445498
30,PHI,0,0,1,1,1936,1,0.002369668246445498
30,POR,0,0,1,1,1936,1,0.002369668246445498
1,USA,38,27,19,84,1948,187,0.20437956204379562
2,SWE,16,11,17,44,1948,87,0.1070559610705596
3,FRA,10,6,13,29,1948,55,0.0705596107055961
4,HUN,10,5,12,27,1948,52,0.06569343065693431
5,ITA,8,11,8,27,1948,54,0.06569343065693431
6,FIN,8,7,5,20,1948,43,0.04866180048661801
7,TUR,6,4,2,12,1948,28,0.029197080291970802
8,TCH,6,2,3,11,1948,25,0.0267639902676399
9,SUI,5,10,5,20,1948,40,0.04866180048661801
10,DEN,5,7,8,20,1948,37,0.04866180048661801
11,NED,5,2,9,16,1948,28,0.038929440389294405
12,GBR,3,14,6,23,1948,43,0.05596107055961071
13,ARG,3,3,1,7,1948,16,0.0170316301703163
14,AUS,2,6,5,13,1948,23,0.031630170316301706
15,BEL,2,2,3,7,1948,13,0.0170316301703163
16,EGY,2,2,1,5,1948,11,0.012165450121654502
17,MEX,2,1,2,5,1948,10,0.012165450121654502
18,RSA,2,1,1,4,1948,9,0.009732360097323601
19,NOR,1,3,3,7,1948,12,0.0170316301703163
20,JAM,1,2,0,3,1948,7,0.0072992700729927005
21,AUT,1,0,3,4,1948,6,0.009732360097323601
22,IND,1,0,0,1,1948,3,0.0024330900243309003
22,PER,1,0,0,1,1948,3,0.0024330900243309003
24,YUG,0,2,0,2,1948,4,0.004866180048661801
25,CAN,0,1,2,3,1948,4,0.0072992700729927005
26,POR,0,1,1,2,1948,3,0.004866180048661801
26,URU,0,1,1,2,1948,3,0.004866180048661801
28,CEY,0,1,0,1,1948,2,0.0024330900243309003
28,CUB,0,1,0,1,1948,2,0.0024330900243309003
28,ESP,0,1,0,1,1948,2,0.0024330900243309003
28,TTO,0,1,0,1,1948,2,0.0024330900243309003
32,PAN,0,0,2,2,1948,2,0.004866180048661801
32,KOR,0,0,2,2,1948,2,0.004866180048661801
34,BRA,0,0,1,1,1948,1,0.0024330900243309003
34,IRI,0,0,1,1,1948,1,0.0024330900243309003
34,POL,0,0,1,1,1948,1,0.0024330900243309003
34,PUR,0,0,1,1,1948,1,0.0024330900243309003
1,USA,40,19,17,76,1952,175,0.1655773420479303
2,URS,22,30,19,71,1952,145,0.15468409586056645
3,HUN,16,10,16,42,1952,84,0.0915032679738562
4,SWE,12,13,10,35,1952,72,0.07625272331154684
5,ITA,8,9,4,21,1952,46,0.0457516339869281
6,TCH,7,3,3,13,1952,30,0.02832244008714597
7,FRA,6,6,6,18,1952,36,0.0392156862745098
8,FIN,6,3,13,22,1952,37,0.04793028322440087
9,AUS,6,2,3,11,1952,25,0.023965141612200435
10,NOR,3,2,0,5,1952,13,0.010893246187363835
11,SUI,2,6,6,14,1952,24,0.030501089324618737
12,RSA,2,4,4,10,1952,18,0.02178649237472767
13,JAM,2,3,0,5,1952,12,0.010893246187363835
14,BEL,2,2,0,4,1952,10,0.008714596949891068
15,DEN,2,1,3,6,1952,11,0.013071895424836602
16,TUR,2,0,1,3,1952,7,0.006535947712418301
17,JPN,1,6,2,9,1952,17,0.0196078431372549
18,GBR,1,2,8,11,1952,15,0.023965141612200435
19,ARG,1,2,2,5,1952,9,0.010893246187363835
20,POL,1,2,1,4,1952,8,0.008714596949891068
21,CAN,1,2,0,3,1952,7,0.006535947712418301
21,YUG,1,2,0,3,1952,7,0.006535947712418301
23,ROU,1,1,2,4,1952,7,0.008714596949891068
24,BRA,1,0,2,3,1952,5,0.006535947712418301
24,NZL,1,0,2,3,1952,5,0.006535947712418301
26,IND,1,0,1,2,1952,4,0.004357298474945534
27,LUX,1,0,0,1,1952,3,0.002178649237472767
28,GER,0,7,17,24,1952,31,0.05228758169934641
29,NED,0,5,0,5,1952,10,0.010893246187363835
30,IRI,0,3,4,7,1952,10,0.015250544662309368
31,CHI,0,2,0,2,1952,4,0.004357298474945534
32,AUT,0,1,1,2,1952,3,0.004357298474945534
32,LIB,0,1,1,2,1952,3,0.004357298474945534
34,IRL,0,1,0,1,1952,2,0.002178649237472767
34,MEX,0,1,0,1,1952,2,0.002178649237472767
34,ESP,0,1,0,1,1952,2,0.002178649237472767
37,KOR,0,0,2,2,1952,2,0.004357298474945534
37,TTO,0,0,2,2,1952,2,0.004357298474945534
37,URU,0,0,2,2,1952,2,0.004357298474945534
40,BUL,0,0,1,1,1952,1,0.002178649237472767
40,EGY,0,0,1,1,1952,1,0.002178649237472767
40,POR,0,0,1,1,1952,1,0.002178649237472767
40,VEN,0,0,1,1,1952,1,0.002178649237472767
1,URS,37,29,32,98,1956,201,0.208955223880597
2,USA,32,25,17,74,1956,163,0.15778251599147122
3,AUS,13,8,14,35,1956,69,0.07462686567164178
4,HUN,9,10,7,26,1956,54,0.05543710021321962
5,ITA,8,8,9,25,1956,49,0.053304904051172705
6,SWE,8,5,6,19,1956,40,0.04051172707889126
7,EUN,6,13,7,26,1956,51,0.05543710021321962
8,GBR,6,7,11,24,1956,43,0.0511727078891258
9,ROU,5,3,5,13,1956,26,0.02771855010660981
10,JPN,4,10,5,19,1956,37,0.04051172707889126
11,FRA,4,4,6,14,1956,26,0.029850746268656716
12,TUR,3,2,2,7,1956,15,0.014925373134328358
13,FIN,3,1,11,15,1956,22,0.031982942430703626
14,IRI,2,2,1,5,1956,11,0.010660980810234541
15,CAN,2,1,3,6,1956,11,0.01279317697228145
16,NZL,2,0,0,2,1956,6,0.0042643923240938165
17,POL,1,4,4,9,1956,15,0.019189765458422176
18,TCH,1,4,1,6,1956,12,0.01279317697228145
19,BUL,1,3,1,5,1956,10,0.010660980810234541
20,DEN,1,2,1,4,1956,8,0.008528784648187633
21,IRL,1,1,3,5,1956,8,0.010660980810234541
22,NOR,1,0,2,3,1956,5,0.006396588486140725
23,MEX,1,0,1,2,1956,4,0.0042643923240938165
24,BRA,1,0,0,1,1956,3,0.0021321961620469083
24,IND,1,0,0,1,1956,3,0.0021321961620469083
26,YUG,0,3,0,3,1956,6,0.006396588486140725
27,CHI,0,2,2,4,1956,6,0.008528784648187633
28,BEL,0,2,0,2,1956,4,0.0042643923240938165
29,ARG,0,1,1,2,1956,3,0.0042643923240938165
29,KOR,0,1,1,2,1956,3,0.0042643923240938165
31,ISL,0,1,0,1,1956,2,0.0021321961620469083
31,PAK,0,1,0,1,1956,2,0.0021321961620469083
33,RSA,0,0,4,4,1956,4,0.008528784648187633
34,AUT,0,0,2,2,1956,2,0.0042643923240938165
35,BAH,0,0,1,1,1956,1,0.0021321961620469083
35,GRE,0,0,1,1,1956,1,0.0021321961620469083
35,SUI,0,0,1,1,1956,1,0.0021321961620469083
35,URU,0,0,1,1,1956,1,0.0021321961620469083
1,URS,43,29,31,103,1960,218,0.22342733188720174
2,USA,34,21,16,71,1960,160,0.1540130151843818
3,ITA,13,10,13,36,1960,72,0.07809110629067245
4,EUN,12,19,11,42,1960,85,0.0911062906724512
5,AUS,8,8,6,22,1960,46,0.04772234273318872
6,TUR,7,2,0,9,1960,25,0.019522776572668113
7,HUN,6,8,7,21,1960,41,0.0455531453362256
8,JPN,4,7,7,18,1960,33,0.039045553145336226
9,POL,4,6,11,21,1960,35,0.0455531453362256
10,TCH,3,2,3,8,1960,16,0.01735357917570499
11,ROU,3,1,6,10,1960,17,0.021691973969631236
12,GBR,2,6,12,20,1960,30,0.04338394793926247
13,DEN,2,3,1,6,1960,13,0.013015184381778741
14,NZL,2,0,1,3,1960,7,0.006507592190889371
15,BUL,1,3,3,7,1960,12,0.015184381778741865
16,SWE,1,2,3,6,1960,10,0.013015184381778741
